Scientific,Family1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Hand.Wing.Index,Tail.Length,Mass,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Toe,Gape_size_mcf,NicheBreadth,NichePosition,IUCN,RangeSize_Cells,RangeSize_Meters,MidPoint_Long,MidPoint_Lat,Realm,degree,betweenness,closeness,katzz,PC1,PC2,Nwebs,PC1_nobet,PC2_nobet,ED,DR
Andropadus milanjensis,Pycnonotidae,21,10.7,3.9,4.8,22.8,94.7,15.1,15.8,88.1,37.4,Forest,Omnivore,Omnivore,Insessorial,NA,NA,0.106965162,-0.895923337,LC,52,6.25E+11,35.80261006,-10.01361709,Afrotropical,29,0.000108818,0.000724056,4.078614111,-0.19139582,-0.370959127,2,-0.101886929,-0.459527056,13.48842287,0.075354287
Andropadus tephrolaemus,Pycnonotidae,17.2,9.2,3.8,4.2,19.8,82.4,12.6,15.3,73.2,38.3,Forest,Herbivore,Frugivore,Insessorial,NA,8.1,1.157173432,-1.7331628,LC,16,1.96E+11,10.31444812,5.880211806,Afrotropical,63,0.002050247,0.000831519,7.425084057,1.429765923,-0.338393133,1,1.330891636,-0.191887648,9.862967794,0.103779479
Andropadus virens,Pycnonotidae,13.9,8,4.7,4.3,20.6,74.4,9.8,12.8,70.8,26.6,Forest,Herbivore,Frugivore,Insessorial,NA,11.6,0.790385851,-1.347390388,LC,583,7.12E+12,16.41517884,-0.515939842,Afrotropical,9,0.002305366,0.000919735,7.511131046,0.454968555,0.514205063,5,0.227820047,1.09568829,14.55534166,0.069735869
Anisognathus igniventris,Thraupidae,14.8,8.1,5.6,6.8,25.1,87.8,14.8,16.8,75.2,34,Forest,Herbivore,Frugivore,Insessorial,NA,8.6,1.458385403,-1.041813721,LC,71,8.61E+11,-74.10728637,-6.651016456,Neotropical,24,0.000350115,0.000854105,52.28591673,0.377326987,0.439116732,5,0.525924759,0.31653713,4.467710679,0.232852537
Anisognathus lacrymosus,Thraupidae,15.1,8.1,5.4,6.3,25.1,89.5,14.6,16.4,75.5,31,Forest,Herbivore,Frugivore,Insessorial,NA,9.2,3.168305943,-1.341338741,LC,52,6.35E+11,-76.90809956,-2.819101465,Neotropical,14,0,0.00058809,2.008598669,-1.102036405,-1.120679285,2,-1.130175113,-1.167529534,4.467710679,0.232852537
Anisognathus somptuosus,Thraupidae,20,10.8,5.9,7.7,23.7,92.1,18.9,20.9,72,44.5,Forest,Omnivore,Invertivore,Insessorial,NA,8.9,3.783569083,-1.271491493,LC,78,9.47E+11,-76.14980225,-1.509417332,Neotropical,52,0.001384977,0.000922226,192.3734522,1.998207252,0.463046135,12,2.150499251,-0.048726614,6.547597659,0.16692293
Anorrhinus austeni,Bucerotidae,126.2,106.4,34,52.3,43,327,64.3,19.6,289,933,Forest,Omnivore,Frugivore,Insessorial,NA,40,5.437131592,-1.491997855,NT,189,2.20E+12,100.3220899,18.67533996,Oriental,9,8.74E-05,0.000754688,5.073612627,-0.578110264,-0.042110575,3,-0.515753195,0.000563235,13.45511994,0.077535037
Anorrhinus galeritus,Bucerotidae,134.2,115.1,34.8,54.1,41.5,341,31.9,9.8,269.6,1172,Forest,Omnivore,Frugivore,Insessorial,NA,43.1,2.220902334,-2.359640458,NT,177,2.17E+12,101.3432591,2.056824723,Oriental,9,3.84E-05,0.000705426,5.480176758,-0.769849323,-0.346357265,1,-0.733271949,-0.330017676,20.49784817,0.050712029
Anthornis melanura,Meliphagidae,20.1,9,3,3.9,25.9,86.4,17.2,19.1,80.3,26.9,Forest,Herbivore,Nectarivore,Insessorial,16.7,NA,2.26839989,-0.544927604,LC,59,5.43E+11,172.4807661,-42.0484418,Australian,39,8.92E-05,0.000694201,9.630562805,-0.037429208,-0.621591382,11,0.063961388,-0.806542554,15.03829707,0.075292361
Anthoscopus caroli,Remizidae,9.2,6.7,2.9,3.2,13.1,52.6,8.1,15.5,29.9,6.9,Woodland,Omnivore,Invertivore,Insessorial,NA,NA,0.17063008,-0.841000809,LC,510,6.08E+12,29.6904916,-13.3315215,Afrotropical,2,0.000123804,0.000806465,5.44236632,-0.551884279,0.325863402,1,-0.477923359,0.435928398,11.58186983,0.106430838
Anthoscopus parvulus,Remizidae,9,7.1,2.5,3.2,11.8,50,7.6,15.3,28.3,5.8,Shrubland,Carnivore,Invertivore,Insessorial,NA,NA,0.22180959,-1.102517871,LC,220,2.66E+12,2.198320297,11.28735535,Afrotropical,1,0,0.000662907,1.377405198,-1.149981825,-0.558655701,1,-1.159967276,-0.497322055,11.18581099,0.115115947
Anthracoceros albirostris,Bucerotidae,160.1,124.2,35.3,51.8,57.5,284.9,45.6,15.9,295.2,892.9,Forest,Omnivore,Frugivore,Insessorial,NA,40.1,4.122311796,-1.713821079,LC,534,6.30E+12,96.96229332,15.7920209,Oriental,37,0.001936549,0.000900555,32.94105901,1.102562012,0.295520352,8,1.017213243,0.522209266,13.90528418,0.083625352
Anthracoceros coronatus,Bucerotidae,202.6,160.8,35,89.1,60.2,306.2,54.1,17,317.7,806.7,Forest,Herbivore,Frugivore,Insessorial,NA,43.8,3.020345421,-1.291583564,NT,98,1.14E+12,81.5335707,21.13400219,Oriental,5,6.46E-05,0.00079835,11.64629138,-0.496962489,0.268083749,1,-0.406738456,0.322592471,12.51182946,0.091317072
